Date,Number of Data Points,Mean HR Overall,Median HR Overall,Min HR Overall,Max HR Overall,Number of Bouts at HR >= 80%,Total Time Spent (min) at HR >= 80%,Mean HR for Time Spent (min) at HR >= 80%,Median HR for Time Spent (min) at HR >= 80%,Min HR for Time Spent (min) at HR >= 80%,Number of Bouts at HR >= 60%,Total Time Spent (min) at HR >= 60%,Mean HR for Time Spent (min) at HR >= 60%,Median HR for Time Spent (min) at HR >= 60%,Min HR for Time Spent (min) at HR >= 60%,Number of Bouts at HR >= 40%,Total Time Spent (min) at HR >= 40%,Mean HR for Time Spent (min) at HR >= 40%,Median HR for Time Spent (min) at HR >= 40%,Min HR for Time Spent (min) at HR >= 40%,Number of Bouts at HR < 40%,Total Time Spent (min) at HR < 40%,Mean HR for Time Spent (min) at HR < 40%,Median HR for Time Spent (min) at HR < 40%,Min HR for Time Spent (min) at HR < 40%
2015-12-12,8328,82.7,80.0,55,158,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,11,281.4,97.5,97.0,82,18,580.5,67.9,68.0,55
2015-12-14,132,70.4,70.0,61,101,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,648.1,98.8,99.5,98,1,25.8,70.0,70.0,70
2015-12-15,4666,92.0,92.0,58,152,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,12,236.0,97.8,96.0,82,6,368.3,69.9,70.0,58
2015-12-16,8606,90.0,87.0,58,171,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,23,495.9,98.0,97.0,82,14,461.8,70.0,70.0,58
2015-12-17,7946,80.8,77.0,54,153,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,15,230.2,96.7,96.0,82,15,698.9,67.5,68.0,54
2015-12-18,9783,91.2,91.0,53,153,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,21,475.5,98.8,97.0,82,10,392.4,67.3,67.0,53
2015-12-19,8578,86.9,84.0,58,151,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,13,258.3,95.1,93.0,82,17,512.5,69.7,69.0,58
2015-12-20,2131,80.9,81.0,58,119,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,3,69.4,88.8,88.0,82,3,121.3,72.8,74.0,61
2015-12-21,5778,106.1,107.0,68,174,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,13,330.2,101.4,103.0,82,3,579.4,74.5,74.0,68
2015-12-22,9045,90.5,88.0,62,141,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,22,539.2,98.7,98.0,82,12,286.3,73.7,74.0,63
2015-12-23,8186,81.4,79.0,61,136,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,11,241.2,95.3,93.0,82,20,581.3,71.7,71.0,61
2015-12-24,8998,85.2,83.0,60,138,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19,345.8,95.4,94.0,82,13,393.8,72.4,73.0,60
2015-12-25,8872,84.7,83.0,58,137,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19,429.3,96.0,95.0,82,13,374.7,70.1,70.0,58
2015-12-26,8142,87.8,87.0,57,134,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18,510.8,97.7,97.0,82,15,371.6,70.7,72.0,57
2015-12-27,4301,90.2,86.0,63,154,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,10.3,137.6,137.0,126,10,202.3,94.3,93.0,82,3,33.8,74.8,75.0,66
2015-12-28,5170,83.5,80.0,55,141,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,9,134.7,96.5,93.0,82,11,318.1,71.2,71.0,55
2015-12-29,6443,89.4,88.0,60,148,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,15,310.1,95.6,95.0,82,10,288.5,72.0,73.0,60
2015-12-30,7682,93.7,92.0,61,162,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,23,838.3,97.4,96.0,82,6,210.3,71.4,70.0,61
2015-12-31,8020,84.5,83.0,59,139,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,23,439.0,93.7,92.0,82,16,384.6,71.8,72.0,59
2016-01-01,7228,78.1,76.0,55,170,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,10,231.4,95.4,96.0,82,19,649.5,69.2,69.0,55
2016-01-02,7514,76.8,73.0,55,166,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,8,158.4,96.8,96.0,82,26,703.6,67.1,68.0,55
2016-01-03,630,76.6,76.0,65,120,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,4,364.6,70.6,70.0,66
2016-01-04,8254,83.2,80.0,56,141,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,13,242.2,100.7,101.0,82,14,589.0,67.4,67.0,56
2016-01-05,9064,85.2,81.0,53,154,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,16,282.3,98.4,97.0,82,15,503.0,67.3,68.0,53
2016-01-06,6827,83.4,80.0,53,151,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,8,168.3,100.6,101.0,82,14,632.3,66.4,67.0,53
2016-01-07,9289,84.0,81.0,55,145,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,12,255.6,96.5,95.0,82,20,485.5,68.8,69.0,55
2016-01-08,9483,88.5,86.0,58,152,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17,374.5,97.0,96.0,82,11,350.1,69.0,69.0,58
2016-01-09,6064,81.8,80.0,61,138,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,5,84.3,94.1,92.0,82,17,721.3,73.7,73.0,67
2016-01-10,7987,90.5,84.0,58,194,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,16,475.7,97.1,96.0,82,16,513.1,68.9,68.0,58
2016-01-11,9603,84.9,81.0,55,151,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,20,291.9,96.2,95.0,82,14,443.3,67.7,68.0,55
2016-01-12,7335,90.1,88.0,56,149,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,14,641.7,96.3,93.0,82,11,334.8,65.4,65.0,56
2016-01-13,6955,91.5,90.0,56,143,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,12.0,134.4,135.0,125,17,346.7,101.3,101.0,82,9,338.8,68.3,68.0,56
2016-01-14,5797,91.2,88.0,59,155,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,13,249.6,97.6,96.0,82,6,115.6,72.9,73.0,59
